timeframe,session,orb_minutes,risk_reward,trades_include,net_profit_include,profit_factor_include,win_rate_include,max_dd_pct_include,max_consec_losses_include,avg_r_include,trades_skip,net_profit_skip,profit_factor_skip,win_rate_skip,max_dd_pct_skip,max_consec_losses_skip,avg_r_skip,delta_trades,delta_net_profit,delta_profit_factor,delta_win_rate,delta_max_dd_pct,delta_max_consec_losses,delta_avg_r
M1,NEW_YORK,30,3.5,335,-3927.999999999389,0.9879846443265092,35.52238805970149,47.98334977971111,10,0.055436879991288775,219,-9406.999999999229,0.9561404326743786,36.07305936073059,43.95471627060386,9,0.05877486322429919,-116,-5478.99999999984,-0.03184421165213058,0.550671301029098,-4.028633509107252,-1,0.0033379832330104123
M1,NEW_YORK,30,4.0,334,18715.000000000175,1.0572472966979194,35.32934131736527,43.70038872374488,10,0.09389211399328157,218,3910.0000000005384,1.0182301380082082,35.77981651376147,40.69067363398835,9,0.09042156104695469,-116,-14804.999999999636,-0.03901715868971123,0.45047519639619793,-3.009715089756533,-1,-0.0034705529463268797
M1,NEW_YORK,30,4.5,333,22432.00000000035,1.0684664336838265,34.83483483483483,42.68303768537527,10,0.08632612304486242,217,1918.000000000713,1.0089404745257105,35.483870967741936,40.052800448570046,9,0.07648903375733321,-116,-20513.999999999636,-0.05952595915811609,0.6490361329071064,-2.630237236805222,-1,-0.009837089287529216
M1,NEW_YORK,30,5.0,332,33035.00000000061,1.1008286660460598,34.63855421686747,39.93507497294783,10,0.1040742665810727,217,7655.000000000713,1.0356826551065155,35.483870967741936,37.38406568344216,9,0.09790272181215999,-115,-25379.999999999898,-0.06514601093954431,0.845316750874467,-2.5510092895056715,-1,-0.006171544768912712
M1,NEW_YORK,60,1.0,242,-5919.999999999927,0.9714051103704783,51.2396694214876,38.52973936288714,6,0.01657826700747384,164,-34719.99999999937,0.7746113148755263,49.390243902439025,48.414397371434085,6,-0.03534529557474773,-78,-28799.99999999944,-0.19679379549495202,-1.849425519048573,9.884658008546943,0,-0.05192356258222157
M1,NEW_YORK,60,1.5,228,-4347.000000000189,0.9796778943923696,46.05263157894737,39.43735021640381,6,0.023915566210054372,154,-36957.99999999975,0.7680630079387495,44.15584415584416,55.325189178495336,6,-0.04433813110423674,-74,-32610.999999999563,-0.21161488645362014,-1.8967874231032127,15.887838962091529,0,-0.06825369731429111
M1,NEW_YORK,60,2.0,221,-3575.000000000029,0.9836470507513205,42.081447963800905,40.100113574222824,8,0.016950164631504318,150,-34739.99999999948,0.7857275026213555,40.666666666666664,50.95702062416528,6,-0.04467302588124375,-71,-31164.999999999454,-0.19791954812996504,-1.4147812971342404,10.856907049942457,-2,-0.06162319051274807
M1,NEW_YORK,60,2.5,217,6666.999999999913,1.0304965350044595,41.013824884792626,38.785695138680964,8,0.02725354967685259,146,-38218.99999999954,0.7642694134336661,39.04109589041096,53.65151590088523,6,-0.07036720962932987,-71,-44885.999999999454,-0.2662271215707934,-1.9727289943816686,14.865820762204265,-2,-0.09762075930618246
M1,NEW_YORK,60,3.0,215,11900.00000000003,1.0544335933032956,40.93023255813954,33.78298250815301,8,0.03701367717591374,146,-37189.999999999614,0.770616172207489,39.04109589041096,49.779909985656914,6,-0.04941228263088631,-69,-49089.99999999964,-0.28381742109580654,-1.8891366677285788,15.996927477503903,-2,-0.08642595980680004
M1,NEW_YORK,60,3.5,215,20384.999999999913,1.0932461176040067,40.93023255813954,31.810676940011074,8,0.054483796903553525,146,-38083.99999999944,0.7651020785789205,39.04109589041096,48.61862604480917,6,-0.048327953776503285,-69,-58468.99999999935,-0.32814403902508615,-1.8891366677285788,16.807949104798094,-2,-0.10281175068005681
M1,NEW_YORK,60,4.0,215,11234.999999999942,1.0513917160304644,40.93023255813954,34.34484967372593,8,0.07291554672986444,146,-32929.999999999476,0.796891383457721,39.04109589041096,45.26930115238137,6,-0.025301848981201667,-69,-44164.99999999942,-0.2545003325727434,-1.8891366677285788,10.924451478655435,-2,-0.09821739571106611
M1,NEW_YORK,60,4.5,215,12215.999999999884,1.0557083247828165,40.46511627906977,33.02686963952276,8,0.06340261587819239,146,-28896.999999999447,0.8217664836859331,39.04109589041096,42.15617704136411,6,-0.008436490363280886,-69,-41112.99999999933,-0.23394184109688343,-1.4240203886588105,9.129307401841352,-2,-0.07183910624147327
M1,NEW_YORK,60,5.0,215,18010.000000000116,1.082130560685866,40.46511627906977,31.73076923076919,8,0.08052183472295917,146,-24519.99999999936,0.8487633380620518,39.04109589041096,39.73021495463143,6,0.009926000025858164,-69,-42529.999999999476,-0.23336722262381415,-1.4240203886588105,7.999445723862237,-2,-0.070595834697101
M5,ASIA,15,1.0,592,26414.99999999955,1.1195275911219695,50.8445945945946,14.79384096971975,7,0.019916483163946952,412,14199.99999999904,1.090515043345225,50.48543689320388,11.362092391304458,5,0.012148672790323528,-180,-12215.00000000051,-0.029012547776744446,-0.3591577013907141,-3.4317485784152915,-2,-0.007767810373623424
