trade_month,strategy,net_profit,trades,configs,picks
2024-01,ALL_RR,-7706.0,5896,162,
2024-01,ALL_RRR,49838.0,6884,162,
2024-02,REVERSE_WORST,-3879.0,118,5,M1_LONDON_ORB15_INCLUDE_NEWS_RR4|R;M1_LONDON_ORB15_SKIP_NEWS_RR4|R;M1_LONDON_ORB30_INCLUDE_NEWS_RR4p5|R;M1_LONDON_ORB30_SKIP_NEWS_RR4p5|R;M1_LONDON_ORB30_INCLUDE_NEWS_RR5|RR
2024-02,KEEP_WORST,15472.0,347,5,M1_LONDON_ORB15_INCLUDE_NEWS_RR4|ORIGINAL;M1_LONDON_ORB15_SKIP_NEWS_RR4|ORIGINAL;M1_LONDON_ORB30_INCLUDE_NEWS_RR4p5|ORIGINAL;M1_LONDON_ORB30_SKIP_NEWS_RR4p5|ORIGINAL;M1_LONDON_ORB30_INCLUDE_NEWS_RR5|ORIGINAL
2024-02,FOLLOW_BEST,8710.0,181,5,M15_LONDON_ORB30_INCLUDE_NEWS_RR1|ORIGINAL;M15_LONDON_ORB30_SKIP_NEWS_RR1|ORIGINAL;M15_LONDON_ORB60_INCLUDE_NEWS_RR3p5|ORIGINAL;M15_LONDON_ORB60_SKIP_NEWS_RR3p5|ORIGINAL;M15_LONDON_ORB60_INCLUDE_NEWS_RR4|ORIGINAL
2024-02,ALL_ORIGINAL,400848.0,8494,162,
2024-02,ALL_R,-106108.0,3402,162,
2024-02,ALL_RR,-162066.0,5472,162,
2024-02,ALL_RRR,-204640.0,6224,162,
2024-03,REVERSE_WORST,1577.0,152,5,M1_LONDON_ORB30_INCLUDE_NEWS_RR4p5|RRR;M1_LONDON_ORB30_SKIP_NEWS_RR4p5|RRR;M1_LONDON_ORB30_INCLUDE_NEWS_RR5|RR;M1_LONDON_ORB30_SKIP_NEWS_RR5|RR;M1_LONDON_ORB15_INCLUDE_NEWS_RR4|R
2024-03,KEEP_WORST,16169.0,432,5,M1_LONDON_ORB30_INCLUDE_NEWS_RR4p5|ORIGINAL;M1_LONDON_ORB30_SKIP_NEWS_RR4p5|ORIGINAL;M1_LONDON_ORB30_INCLUDE_NEWS_RR5|ORIGINAL;M1_LONDON_ORB30_SKIP_NEWS_RR5|ORIGINAL;M1_LONDON_ORB15_INCLUDE_NEWS_RR4|ORIGINAL
2024-03,FOLLOW_BEST,7008.0,291,5,M5_LONDON_ORB15_INCLUDE_NEWS_RR2p5|ORIGINAL;M5_LONDON_ORB15_SKIP_NEWS_RR2p5|ORIGINAL;M15_LONDON_ORB60_INCLUDE_NEWS_RR1p5|ORIGINAL;M15_LONDON_ORB60_SKIP_NEWS_RR1p5|ORIGINAL;M5_LONDON_ORB15_INCLUDE_NEWS_RR3|ORIGINAL
2024-03,ALL_ORIGINAL,292282.0,10250,162,
2024-03,ALL_R,-55886.0,3240,162,
2024-03,ALL_RR,48080.0,4850,162,
2024-03,ALL_RRR,45800.0,5708,162,
2024-04,REVERSE_WORST,3979.0,258,5,M1_LONDON_ORB15_INCLUDE_NEWS_RR1p5|RRR;M1_LONDON_ORB15_SKIP_NEWS_RR1p5|RRR;M1_LONDON_ORB15_INCLUDE_NEWS_RR2|RRR;M1_LONDON_ORB15_SKIP_NEWS_RR2|RRR;M1_LONDON_ORB15_INCLUDE_NEWS_RR1|R
2024-04,KEEP_WORST,84.0,478,5,M1_LONDON_ORB15_INCLUDE_NEWS_RR1p5|ORIGINAL;M1_LONDON_ORB15_SKIP_NEWS_RR1p5|ORIGINAL;M1_LONDON_ORB15_INCLUDE_NEWS_RR2|ORIGINAL;M1_LONDON_ORB15_SKIP_NEWS_RR2|ORIGINAL;M1_LONDON_ORB15_INCLUDE_NEWS_RR1|ORIGINAL
2024-04,FOLLOW_BEST,-31904.0,197,5,M15_LONDON_ORB60_INCLUDE_NEWS_RR1p5|ORIGINAL;M15_LONDON_ORB60_SKIP_NEWS_RR1p5|ORIGINAL;M5_LONDON_ORB60_INCLUDE_NEWS_RR3|ORIGINAL;M5_LONDON_ORB60_SKIP_NEWS_RR3|ORIGINAL;M15_LONDON_ORB60_INCLUDE_NEWS_RR2|ORIGINAL
2024-04,ALL_ORIGINAL,-688196.0,9030,162,
2024-04,ALL_R,-194046.0,3546,162,
2024-04,ALL_RR,10412.0,5546,162,
2024-04,ALL_RRR,30814.0,6346,162,
2024-05,REVERSE_WORST,19166.0,191,5,M5_LONDON_ORB30_INCLUDE_NEWS_RR1p5|RR;M5_LONDON_ORB30_SKIP_NEWS_RR1p5|RR;M5_LONDON_ORB30_INCLUDE_NEWS_RR4p5|RR;M5_LONDON_ORB30_SKIP_NEWS_RR4p5|RR;M5_LONDON_ORB30_INCLUDE_NEWS_RR2|RR
2024-05,KEEP_WORST,-15677.0,362,5,M5_LONDON_ORB30_INCLUDE_NEWS_RR1p5|ORIGINAL;M5_LONDON_ORB30_SKIP_NEWS_RR1p5|ORIGINAL;M5_LONDON_ORB30_INCLUDE_NEWS_RR4p5|ORIGINAL;M5_LONDON_ORB30_SKIP_NEWS_RR4p5|ORIGINAL;M5_LONDON_ORB30_INCLUDE_NEWS_RR2|ORIGINAL
2024-05,FOLLOW_BEST,-27571.0,284,5,M15_LONDON_ORB15_INCLUDE_NEWS_RR2|ORIGINAL;M15_LONDON_ORB15_SKIP_NEWS_RR2|ORIGINAL;M15_LONDON_ORB15_INCLUDE_NEWS_RR1|ORIGINAL;M15_LONDON_ORB15_SKIP_NEWS_RR1|ORIGINAL;M15_LONDON_ORB15_INCLUDE_NEWS_RR1p5|ORIGINAL
2024-05,ALL_ORIGINAL,-256104.0,11122,162,
2024-05,ALL_R,449588.0,3726,162,
2024-05,ALL_RR,461646.0,5676,162,
2024-05,ALL_RRR,539682.0,6724,162,
2024-06,REVERSE_WORST,-5792.0,155,5,M5_LONDON_ORB30_INCLUDE_NEWS_RR1p5|RR;M5_LONDON_ORB30_SKIP_NEWS_RR1p5|RR;M5_LONDON_ORB30_INCLUDE_NEWS_RR3p5|RRR;M5_LONDON_ORB30_SKIP_NEWS_RR3p5|RRR;M5_LONDON_ORB30_INCLUDE_NEWS_RR1|RRR
2024-06,KEEP_WORST,19302.0,240,5,M5_LONDON_ORB30_INCLUDE_NEWS_RR1p5|ORIGINAL;M5_LONDON_ORB30_SKIP_NEWS_RR1p5|ORIGINAL;M5_LONDON_ORB30_INCLUDE_NEWS_RR3p5|ORIGINAL;M5_LONDON_ORB30_SKIP_NEWS_RR3p5|ORIGINAL;M5_LONDON_ORB30_INCLUDE_NEWS_RR1|ORIGINAL
2024-06,FOLLOW_BEST,21683.0,255,5,M15_LONDON_ORB15_INCLUDE_NEWS_RR4|ORIGINAL;M15_LONDON_ORB15_SKIP_NEWS_RR4|ORIGINAL;M15_LONDON_ORB15_INCLUDE_NEWS_RR4p5|ORIGINAL;M15_LONDON_ORB15_SKIP_NEWS_RR4p5|ORIGINAL;M1_LONDON_ORB15_INCLUDE_NEWS_RR5|ORIGINAL
2024-06,ALL_ORIGINAL,622646.0,8374,162,
2024-06,ALL_R,-104766.0,3222,162,
2024-06,ALL_RR,-300448.0,4704,162,
2024-06,ALL_RRR,-328684.0,5312,162,
2024-07,REVERSE_WORST,6700.0,169,5,M5_LONDON_ORB60_INCLUDE_NEWS_RR3p5|RRR;M5_LONDON_ORB60_SKIP_NEWS_RR3p5|RRR;M5_LONDON_ORB30_INCLUDE_NEWS_RR1p5|RR;M5_LONDON_ORB30_SKIP_NEWS_RR1p5|RR;M5_LONDON_ORB30_INCLUDE_NEWS_RR5|RRR
2024-07,KEEP_WORST,-27077.0,286,5,M5_LONDON_ORB60_INCLUDE_NEWS_RR3p5|ORIGINAL;M5_LONDON_ORB60_SKIP_NEWS_RR3p5|ORIGINAL;M5_LONDON_ORB30_INCLUDE_NEWS_RR1p5|ORIGINAL;M5_LONDON_ORB30_SKIP_NEWS_RR1p5|ORIGINAL;M5_LONDON_ORB30_INCLUDE_NEWS_RR5|ORIGINAL
