config,variant,trades,net,win_rate,pf,expectancy,avg_r,max_dd,max_dd_pct,recovery,months_up,months
M15_LONDON_ORB30_INCLUDE_NEWS_RR2,RR,235.0,-18675.0,37.0,0.894,-79.5,-0.008,-35220.0,-33.41,-0.53,3.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR2,RRR,253.0,-12505.0,37.9,0.932,-49.4,0.015,-31280.0,-29.25,-0.4,3.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR2p5,ORIGINAL,326.0,-5248.0,30.4,0.978,-16.1,-0.077,-54834.0,-41.17,-0.1,6.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR2p5,R,156.0,-30470.0,29.5,0.778,-195.3,-0.088,-35301.0,-34.6,-0.86,2.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR2p5,RR,222.0,-32991.0,32.0,0.815,-148.6,-0.06,-39498.0,-37.5,-0.84,2.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR2p5,RRR,234.0,-29836.0,32.5,0.837,-127.5,-0.044,-39778.0,-37.09,-0.75,2.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR3,ORIGINAL,324.0,-38775.0,27.8,0.838,-119.7,-0.114,-55385.0,-55.78,-0.7,4.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR3,R,156.0,-41440.0,26.3,0.708,-265.6,-0.163,-40950.0,-41.24,-1.01,2.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR3,RR,217.0,-46475.0,29.0,0.744,-214.2,-0.131,-50430.0,-49.37,-0.92,2.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR3,RRR,224.0,-44155.0,29.0,0.76,-197.1,-0.12,-48110.0,-47.1,-0.92,2.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR3p5,ORIGINAL,323.0,-32278.0,27.2,0.865,-99.9,-0.094,-51073.0,-51.44,-0.63,4.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR3p5,R,156.0,-31445.0,26.3,0.778,-201.6,-0.094,-37198.0,-37.47,-0.85,3.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR3p5,RR,215.0,-35763.0,28.8,0.802,-166.3,-0.073,-41643.0,-40.59,-0.86,2.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR3p5,RRR,222.0,-33010.0,28.8,0.82,-148.7,-0.062,-42783.0,-41.7,-0.77,2.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR4,ORIGINAL,323.0,-18480.0,27.2,0.923,-57.2,-0.043,-44935.0,-42.24,-0.41,4.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR4,R,156.0,-32090.0,25.6,0.775,-205.7,-0.097,-36240.0,-36.5,-0.89,3.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR4,RR,211.0,-32455.0,28.4,0.818,-153.8,-0.053,-42015.0,-40.77,-0.77,3.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR4,RRR,218.0,-29270.0,28.4,0.839,-134.3,-0.041,-43155.0,-41.88,-0.68,3.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR4p5,ORIGINAL,323.0,-13089.0,27.2,0.945,-40.5,-0.025,-44276.0,-40.75,-0.3,5.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR4p5,R,156.0,-36143.0,24.4,0.748,-231.7,-0.14,-38403.0,-38.68,-0.94,3.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR4p5,RR,210.0,-38294.0,27.1,0.787,-182.4,-0.087,-45542.0,-44.0,-0.84,3.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR4p5,RRR,216.0,-34096.0,27.3,0.812,-157.9,-0.066,-43720.0,-42.24,-0.78,3.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR5,ORIGINAL,323.0,-2025.0,27.2,0.992,-6.3,0.013,-42555.0,-37.1,-0.05,5.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR5,R,156.0,-31890.0,24.4,0.778,-204.4,-0.11,-37280.0,-37.55,-0.86,3.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR5,RR,210.0,-35710.0,27.1,0.801,-170.0,-0.072,-43645.0,-42.55,-0.82,3.0,8.0
M15_LONDON_ORB30_INCLUDE_NEWS_RR5,RRR,216.0,-31080.0,27.3,0.829,-143.9,-0.05,-42315.0,-41.25,-0.73,3.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR1,ORIGINAL,241.0,-19600.0,44.8,0.862,-81.3,-0.097,-39975.0,-39.28,-0.49,4.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR1,R,106.0,-6530.0,53.8,0.905,-61.6,0.07,-23000.0,-20.4,-0.28,3.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR1,RR,183.0,11565.0,55.2,1.117,63.2,0.1,-19085.0,-15.93,0.61,4.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR1,RRR,225.0,13815.0,54.7,1.118,61.4,0.083,-19960.0,-16.61,0.69,4.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR1p5,ORIGINAL,236.0,-36303.0,35.2,0.774,-153.8,-0.148,-49552.0,-49.03,-0.73,3.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR1p5,R,106.0,6656.0,47.2,1.089,62.8,0.162,-18353.0,-15.66,0.36,4.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR1p5,RR,172.0,18631.0,47.1,1.176,108.3,0.14,-18264.0,-14.33,1.02,4.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR1p5,RRR,199.0,27180.0,48.2,1.237,136.6,0.149,-17884.0,-13.69,1.52,4.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR2,ORIGINAL,231.0,-44335.0,29.4,0.739,-191.9,-0.198,-52880.0,-53.26,-0.84,4.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR2,R,106.0,5550.0,39.6,1.068,52.4,0.126,-17940.0,-16.24,0.31,5.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR2,RR,159.0,11750.0,40.9,1.107,73.9,0.113,-16420.0,-14.27,0.72,5.0,8.0
M15_LONDON_ORB30_SKIP_NEWS_RR2,RRR,174.0,19475.0,42.0,1.168,111.9,0.136,-16615.0,-12.93,1.17,5.0,8.0
