,net_profit,net_profit,net_profit,net_profit,trades,trades,trades,trades,win_rate,win_rate,win_rate,win_rate,profit_factor,profit_factor,profit_factor,profit_factor,max_dd_pct,max_dd_pct,max_dd_pct,max_dd_pct
variant,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR,ORIGINAL,R,RR,RRR
config,,,,,,,,,,,,,,,,,,,,
M1_LONDON_ORB30_INCLUDE_NEWS_RR1,-25020.0,-18885.0,-1980.0,-2540.0,708.0,158.0,297.0,421.0,47.74,48.1,52.19,51.54,0.917,0.766,0.985,0.986,37.69,24.93,19.28,17.41
M1_LONDON_ORB30_INCLUDE_NEWS_RR1p5,-36307.0,-21203.0,-1158.0,9731.0,650.0,158.0,293.0,401.0,37.69,37.34,42.66,42.89,0.889,0.773,0.993,1.048,48.99,30.0,26.24,19.36
M1_LONDON_ORB30_INCLUDE_NEWS_RR2,-38155.0,-19765.0,-13445.0,-5375.0,610.0,158.0,287.0,376.0,31.31,31.65,34.15,35.11,0.886,0.802,0.921,0.975,55.91,26.16,25.11,19.85
M1_LONDON_ORB30_INCLUDE_NEWS_RR2p5,-34794.0,-19779.0,-9986.0,-21182.0,589.0,158.0,275.0,347.0,27.5,28.48,32.0,32.28,0.898,0.81,0.941,0.898,57.49,27.82,28.58,40.57
M1_LONDON_ORB30_INCLUDE_NEWS_RR3,-44045.0,-24775.0,-18520.0,-30385.0,576.0,158.0,267.0,334.0,25.35,24.68,27.72,28.14,0.871,0.77,0.893,0.855,65.72,34.34,40.45,51.12
M1_LONDON_ORB30_INCLUDE_NEWS_RR3p5,-39113.0,-34535.0,-27928.0,-36206.0,573.0,158.0,264.0,323.0,24.08,21.52,25.0,25.7,0.887,0.69,0.841,0.824,62.34,46.26,51.17,58.21
M1_LONDON_ORB30_INCLUDE_NEWS_RR4,-31780.0,-28690.0,-10190.0,-19570.0,569.0,158.0,261.0,313.0,23.37,21.52,26.82,26.52,0.908,0.743,0.94,0.901,60.2,44.94,42.85,49.85
M1_LONDON_ORB30_INCLUDE_NEWS_RR4p5,-33834.0,-23303.0,-2010.0,-11067.0,565.0,158.0,259.0,309.0,22.48,21.52,26.64,26.21,0.902,0.791,0.988,0.943,64.19,41.92,37.61,45.18
M1_LONDON_ORB30_INCLUDE_NEWS_RR5,-36145.0,-25645.0,-5425.0,-15275.0,562.0,158.0,255.0,305.0,21.53,20.89,25.49,25.25,0.896,0.771,0.968,0.922,61.15,48.19,46.24,53.33
M1_LONDON_ORB30_SKIP_NEWS_RR1,-35700.0,-6630.0,3710.0,10370.0,500.0,106.0,200.0,285.0,46.8,50.0,52.5,52.98,0.838,0.866,1.044,1.09,44.13,16.32,13.94,14.41
M1_LONDON_ORB30_SKIP_NEWS_RR1p5,-46397.0,-2780.0,14535.0,25094.0,460.0,106.0,198.0,275.0,36.74,41.51,45.45,45.09,0.804,0.951,1.15,1.196,55.49,13.69,12.67,13.46
M1_LONDON_ORB30_SKIP_NEWS_RR2,-63245.0,-1785.0,7555.0,19410.0,428.0,106.0,194.0,259.0,29.21,33.96,35.57,37.07,0.741,0.971,1.07,1.141,72.74,13.15,12.4,12.96
M1_LONDON_ORB30_SKIP_NEWS_RR2p5,-57194.0,-2013.0,13433.0,5872.0,417.0,106.0,186.0,238.0,26.38,31.13,34.41,34.45,0.769,0.969,1.127,1.044,67.86,15.65,12.73,19.36
M1_LONDON_ORB30_SKIP_NEWS_RR3,-63045.0,-6295.0,6250.0,-2330.0,406.0,106.0,180.0,226.0,23.89,27.36,30.56,30.53,0.746,0.907,1.058,0.983,74.44,20.23,21.77,27.53
M1_LONDON_ORB30_SKIP_NEWS_RR3p5,-58804.0,-10590.0,-4957.0,-8135.0,404.0,106.0,179.0,219.0,23.02,25.47,27.37,27.85,0.764,0.847,0.956,0.938,69.71,19.49,24.16,25.7
M1_LONDON_ORB30_SKIP_NEWS_RR4,-48545.0,-7370.0,6825.0,4575.0,401.0,106.0,176.0,211.0,22.19,25.47,29.55,28.91,0.805,0.893,1.064,1.037,61.88,20.51,21.69,20.44
M1_LONDON_ORB30_SKIP_NEWS_RR4p5,-50834.0,-3083.0,11441.0,9614.0,398.0,106.0,174.0,207.0,21.36,25.47,29.31,28.5,0.796,0.955,1.108,1.079,67.08,18.39,20.78,19.56
M1_LONDON_ORB30_SKIP_NEWS_RR5,-50950.0,-7445.0,7815.0,5195.0,396.0,106.0,170.0,203.0,20.2,24.53,27.65,27.09,0.796,0.893,1.074,1.043,66.93,24.25,26.25,25.69
M1_LONDON_ORB60_INCLUDE_NEWS_RR1,-32955.0,-12270.0,30180.0,27835.0,494.0,158.0,287.0,385.0,46.96,51.9,56.79,53.77,0.881,0.883,1.201,1.14,50.8,22.2,11.27,11.31
M1_LONDON_ORB60_INCLUDE_NEWS_RR1p5,-63238.0,3167.0,25549.0,18891.0,450.0,158.0,279.0,351.0,36.44,45.57,45.52,44.16,0.793,1.028,1.146,1.087,81.56,18.12,9.99,12.35
M1_LONDON_ORB60_INCLUDE_NEWS_RR2,-61375.0,-11465.0,10520.0,-35.0,427.0,158.0,265.0,315.0,31.85,36.71,38.49,37.78,0.802,0.91,1.057,1.0,78.07,25.3,14.87,21.2
M1_LONDON_ORB60_INCLUDE_NEWS_RR2p5,-44187.0,-30951.0,-6903.0,-9389.0,421.0,158.0,246.0,281.0,29.69,30.38,34.55,34.52,0.859,0.775,0.963,0.954,62.84,42.74,24.94,26.13
M1_LONDON_ORB60_INCLUDE_NEWS_RR3,-41580.0,-29100.0,-4685.0,-15105.0,414.0,158.0,238.0,262.0,28.5,29.75,33.61,32.82,0.867,0.791,0.974,0.924,66.3,42.04,25.03,32.61
