config,variant,trades,win_rate,net_profit,profit_factor,max_dd_money,max_dd_pct,expectancy,avg_r
M15_LONDON_ORB60_INCLUDE_NEWS_RR3,RRR,195,34.87,-25785.0,0.859,40545.0,36.25,-132.23,0.011
M15_LONDON_ORB60_INCLUDE_NEWS_RR3p5,ORIGINAL,279,30.82,-24587.0,0.896,43889.0,43.89,-88.13,-0.106
M15_LONDON_ORB60_INCLUDE_NEWS_RR3p5,R,156,32.69,-31454.0,0.8,42541.0,39.5,-201.63,-0.037
M15_LONDON_ORB60_INCLUDE_NEWS_RR3p5,RR,191,34.03,-27713.0,0.847,40940.0,37.28,-145.09,-0.002
M15_LONDON_ORB60_INCLUDE_NEWS_RR3p5,RRR,192,33.85,-28238.0,0.845,41465.0,37.75,-147.07,-0.007
M15_LONDON_ORB60_INCLUDE_NEWS_RR4,ORIGINAL,279,30.82,-15470.0,0.934,42385.0,42.38,-55.45,-0.079
M15_LONDON_ORB60_INCLUDE_NEWS_RR4,R,156,32.69,-32580.0,0.793,39615.0,37.69,-208.85,-0.038
M15_LONDON_ORB60_INCLUDE_NEWS_RR4,RR,190,33.68,-28330.0,0.844,37315.0,34.85,-149.11,0.002
M15_LONDON_ORB60_INCLUDE_NEWS_RR4,RRR,191,33.51,-28855.0,0.841,37840.0,35.34,-151.07,-0.004
M15_LONDON_ORB60_INCLUDE_NEWS_RR4p5,ORIGINAL,279,30.82,-10556.0,0.955,40821.0,40.82,-37.84,-0.067
M15_LONDON_ORB60_INCLUDE_NEWS_RR4p5,R,156,32.05,-31513.0,0.8,41177.0,39.17,-202.01,-0.038
M15_LONDON_ORB60_INCLUDE_NEWS_RR4p5,RR,190,33.16,-27572.0,0.848,35877.0,33.72,-145.12,0.001
M15_LONDON_ORB60_INCLUDE_NEWS_RR4p5,RRR,191,32.98,-28097.0,0.846,36402.0,34.22,-147.1,-0.004
M15_LONDON_ORB60_INCLUDE_NEWS_RR5,ORIGINAL,279,30.47,-15310.0,0.935,46370.0,46.37,-54.87,-0.088
M15_LONDON_ORB60_INCLUDE_NEWS_RR5,R,156,32.05,-28595.0,0.819,41775.0,39.74,-183.3,-0.02
M15_LONDON_ORB60_INCLUDE_NEWS_RR5,RR,190,33.16,-26090.0,0.856,34395.0,32.33,-137.32,0.008
M15_LONDON_ORB60_INCLUDE_NEWS_RR5,RRR,191,32.98,-26615.0,0.854,34920.0,32.82,-139.35,0.003
M15_LONDON_ORB60_SKIP_NEWS_RR1,ORIGINAL,197,44.16,-8160.0,0.938,19115.0,19.01,-41.42,-0.111
M15_LONDON_ORB60_SKIP_NEWS_RR1,R,105,56.19,-2975.0,0.963,15260.0,14.17,-28.33,0.111
M15_LONDON_ORB60_SKIP_NEWS_RR1,RR,166,57.23,7890.0,1.073,15710.0,14.07,47.53,0.132
M15_LONDON_ORB60_SKIP_NEWS_RR1,RRR,189,56.08,4115.0,1.034,16300.0,14.46,21.77,0.115
M15_LONDON_ORB60_SKIP_NEWS_RR1p5,ORIGINAL,190,34.21,-23927.0,0.838,34337.0,34.34,-125.93,-0.176
M15_LONDON_ORB60_SKIP_NEWS_RR1p5,R,105,50.48,12836.0,1.152,11270.0,9.3,122.25,0.207
M15_LONDON_ORB60_SKIP_NEWS_RR1p5,RR,153,51.63,20281.0,1.182,13005.0,10.78,132.56,0.21
M15_LONDON_ORB60_SKIP_NEWS_RR1p5,RRR,170,51.76,22904.0,1.193,13005.0,10.13,134.73,0.201
M15_LONDON_ORB60_SKIP_NEWS_RR2,ORIGINAL,189,30.69,-22400.0,0.854,33865.0,33.86,-118.52,-0.195
M15_LONDON_ORB60_SKIP_NEWS_RR2,R,105,41.9,5225.0,1.057,14020.0,12.15,49.76,0.096
M15_LONDON_ORB60_SKIP_NEWS_RR2,RR,138,43.48,10545.0,1.095,14375.0,11.51,76.41,0.156
M15_LONDON_ORB60_SKIP_NEWS_RR2,RRR,147,44.9,19025.0,1.168,13385.0,10.11,129.42,0.18
M15_LONDON_ORB60_SKIP_NEWS_RR2p5,ORIGINAL,189,30.16,-14817.0,0.904,29790.0,29.79,-78.4,-0.172
M15_LONDON_ORB60_SKIP_NEWS_RR2p5,R,105,37.14,-10140.0,0.897,22336.0,19.91,-96.57,-0.006
