name,timeframe,session,orb_minutes,news_mode,risk_reward,sl_range_mult,max_trades,reverse,range_start,range_end,stop_time,trades,wins,losses,win_rate,net_profit,profit_factor,expectancy,max_dd_money,max_dd_pct,avg_r,total_r,recovery_factor,max_consec_losses,long_net,short_net,avg_duration_min
M1_LONDON_ORB60_INCLUDE_NEWS_RR1p5_SL2_RRR_FWD,M1,LONDON,60,INCLUDE_NEWS,1.5,2.0,3,False,03:00,04:00,09:30,173,82,90,47.398843930635834,50514.999999999505,1.2617357512953333,291.99421965317606,32740.00000000029,32.74000000000029,0.026918822170965657,4.656956235577058,1.5429138668295375,6,7414.999999999463,43100.0,243.8728323699422
M15_LONDON_ORB15_SKIP_NEWS_RR3_SL0p75_RRR_REV,M15,LONDON,15,SKIP_NEWS,3.0,0.75,3,True,03:00,03:15,09:30,179,72,107,40.22346368715084,50504.99999999965,1.5733666345007635,282.1508379888244,12183.000000000073,10.446033542545624,0.45663933350860997,81.73844069804119,4.145530657473476,9,24407.999999999814,26096.99999999975,75.42458100558659
M5_LONDON_ORB60_INCLUDE_NEWS_RR2p5_SL2_RR_FWD,M5,LONDON,60,INCLUDE_NEWS,2.5,2.0,2,False,03:00,04:00,09:30,165,83,82,50.303030303030305,50434.9999999991,1.2824224437226956,305.66666666666134,22900.00000000048,22.90000000000048,0.036869256979311135,6.083427401586338,2.202401746724805,6,1684.999999999167,48749.999999999956,253.0121212121212
M5_LONDON_ORB60_INCLUDE_NEWS_RR2p5_SL2_R_FWD,M5,LONDON,60,INCLUDE_NEWS,2.5,2.0,1,False,03:00,04:00,09:30,157,78,79,49.681528662420384,50284.99999999895,1.2887784988227118,320.28662420381556,23550.00000000048,23.55000000000048,0.03748480714258721,5.885114721386191,2.135244161358723,6,1504.9999999991524,48779.99999999987,262.5222929936306
M5_LONDON_ORB60_INCLUDE_NEWS_RR2_SL1p5_R_FWD,M5,LONDON,60,INCLUDE_NEWS,2.0,1.5,1,False,03:00,04:00,09:30,157,73,84,46.496815286624205,50084.999999999185,1.2964574269732703,319.01273885349843,17955.000000000102,15.755000000000205,0.03981458239296585,6.250889435695639,2.7894736842104653,7,-7860.000000000715,57944.999999999985,239.86624203821657
M5_LONDON_ORB15_INCLUDE_NEWS_RR1p5_SL1_RRR_REV,M5,LONDON,15,INCLUDE_NEWS,1.5,1.0,3,True,03:00,03:15,09:30,340,163,177,47.94117647058824,50034.999999999796,1.2515712202725122,147.1617647058822,18129.999999999927,16.091954022988435,0.14891941707645026,50.63260180599309,2.7597904026475453,11,22684.999999999854,27350.00000000009,62.23823529411764
M5_LONDON_ORB60_INCLUDE_NEWS_RR2p5_SL2_RRR_FWD,M5,LONDON,60,INCLUDE_NEWS,2.5,2.0,3,False,03:00,04:00,09:30,166,83,83,50.0,49974.9999999991,1.2791275692582607,301.0542168674647,22900.00000000048,22.90000000000048,0.03560146081883111,5.909842495925965,2.1823144104802643,6,1684.999999999167,48289.999999999956,251.51807228915663
M1_LONDON_ORB60_INCLUDE_NEWS_RR3_SL1p5_RRR_FWD,M1,LONDON,60,INCLUDE_NEWS,3.0,1.5,3,False,03:00,04:00,09:30,192,84,107,43.75,49954.99999999895,1.2409850695868154,260.1822916666618,38810.00000000055,38.81000000000056,0.0459014857186199,8.81308525797502,1.2871682556041804,8,-1795.0000000007094,51749.99999999977,221.046875
M15_LONDON_ORB60_INCLUDE_NEWS_RR1_SL0p75_RR_REV,M15,LONDON,60,INCLUDE_NEWS,1.0,0.75,2,True,03:00,04:00,09:30,245,136,109,55.51020408163265,49913.999999999825,1.3335115126084103,203.73061224489751,16011.00000000003,10.143366677858946,0.12663987992839085,31.026770582455757,3.117481731309708,10,42505.99999999935,7408.00000000054,68.26530612244898
M1_LONDON_ORB60_INCLUDE_NEWS_RR2_SL2_R_FWD,M1,LONDON,60,INCLUDE_NEWS,2.0,2.0,1,False,03:00,04:00,09:30,158,74,83,46.835443037974684,49899.9999999993,1.2702995504035481,315.8227848101217,34950.000000000495,34.9500000000005,0.025955189829949748,4.10091999313206,1.4277539341916623,6,4799.9999999994125,45099.999999999825,267.32911392405066
