timeframe,session,orb_minutes,news_mode,risk_reward,sl_range_mult,max_trades,trades_rev,net_profit_rev,profit_factor_rev,win_rate_rev,max_dd_pct_rev,avg_r_rev,trades_fwd,net_profit_fwd,profit_factor_fwd,win_rate_fwd,max_dd_pct_fwd,avg_r_fwd,edge_over_forward
M15,LONDON,30,SKIP_NEWS,1.5,0.75,3,205,41326.999999999796,1.3733479081784732,47.80487804878049,11.435683765548726,0.15997508419716813,201,-52557.99999999958,0.7129531018738514,33.33333333333333,59.00099999999965,-0.19719138011799206,93884.99999999937
M15,LONDON,15,SKIP_NEWS,3.0,1.0,3,150,23759.99999999939,1.2399757600242327,40.0,14.70136518771336,0.26727867408297895,191,-69899.99999999953,0.6523252922158689,24.083769633507853,72.95999999999965,-0.2556198123671647,93659.99999999892
M1,LONDON,15,SKIP_NEWS,1.5,1.0,3,251,24794.999999998836,1.165941641011903,44.223107569721115,10.759863207941024,0.057653530899508254,257,-68570.00000000026,0.6740814677503676,33.07392996108949,76.49905628417967,-0.18942464374794926,93364.9999999991
M5,LONDON,15,INCLUDE_NEWS,1.0,1.5,2,259,50784.99999999945,1.2711715079026018,58.301158301158296,26.527042577675548,0.15230689091266206,243,-42424.99999999991,0.824972152316515,40.74074074074074,57.457602014367346,-0.1509606913176717,93209.99999999936
M15,LONDON,15,INCLUDE_NEWS,2.0,1.0,3,251,37519.99999999895,1.237784396983326,44.223107569721115,20.167531639807184,0.24810776808236132,278,-55489.999999999636,0.7842031578128656,32.37410071942446,69.04691938485608,-0.13192292855491833,93009.99999999859
M5,LONDON,15,SKIP_NEWS,3.0,0.75,2,175,48366.00000000006,1.5291163889770207,35.42857142857142,10.698153181963455,0.2773481139903287,190,-44471.99999999951,0.7249993816319986,20.0,47.847070795173444,-0.3223158722464982,92837.99999999956
M15,LONDON,15,SKIP_NEWS,1.5,1.5,3,157,34985.9999999993,1.2941854109732975,54.14012738853503,21.07757653193369,0.25013954091764107,164,-57626.999999999825,0.6865627804519873,32.926829268292686,63.2979999999999,-0.20811939257423742,92612.99999999913
M15,LONDON,30,SKIP_NEWS,1.0,0.75,3,228,40352.000000000146,1.4051975177233766,58.77192982456141,14.03874192876477,0.16572410697127507,207,-52081.99999999951,0.6972434399451264,39.61352657004831,62.02732446312722,-0.18322935521510184,92433.99999999965
M15,LONDON,15,SKIP_NEWS,2.0,0.5,3,234,28929.999999999316,1.3628041133684399,43.58974358974359,11.359966000850115,0.29611013409873077,234,-63219.999999999454,0.6141592920354001,23.504273504273502,65.20499999999949,-0.34549805967397706,92149.99999999878
M5,LONDON,60,INCLUDE_NEWS,1.0,0.75,2,259,54464.00000000012,1.339183180340529,57.14285714285714,9.835699579119604,0.13318084246003448,251,-37308.0,0.8352527643339102,43.82470119521912,49.219000000000044,-0.11510890128260416,91772.00000000012
